subject_id,raw_dimension_x,raw_dimension_y,raw_dimension_z,raw_voxel_size_x,raw_voxel_size_y,raw_voxel_size_z,raw_max_b,raw_neighbor_corr,raw_num_bad_slices,raw_num_directions,raw_coherence_index,raw_incoherence_index,t1_dimension_x,t1_dimension_y,t1_dimension_z,t1_voxel_size_x,t1_voxel_size_y,t1_voxel_size_z,t1_max_b,t1_neighbor_corr,t1_num_bad_slices,t1_num_directions,t1_coherence_index,t1_incoherence_index,mean_fd,max_fd,max_rotation,max_translation,max_rel_rotation,max_rel_translation,t1_dice_distance,file_name,session_id,task_id,dir_id,acq_id,space_id,rec_id,run_id,participant_id
NDARAA306NT2,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.693081,0.0,129.0,1294.65,18906.6,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.864029,0.0,129.0,1464.51,9312.83,0.581650288,5.749958472,0.0236012582,1.342485153,0.0258824006,1.887679071,0.0428463657,sub-NDARAA306NT2_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARAA306NT2
NDARAA536PTU,96.0,96.0,72.0,2.0,2.0,2.0,2000.0,0.801452,2.0,129.0,1069.86,14715.1,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.901187,0.0,129.0,4492.51,34102.9,0.5380870478,1.2903912149,0.0068127615,1.181187352,0.0067703613,0.8597382868,0.0300473861,sub-NDARAA536PTU_ses-HBNsiteSI_acq-64dir,ses-HBNsiteSI,,,acq-64dir,,,,sub-NDARAA536PTU
NDARAA947ZG5,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.617743,321.0,129.0,1145.75,18325.8,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.907311,0.0,129.0,2677.68,20445.1,0.8122889301,4.0844514666,0.0272026621,4.22261325,0.0270452108,1.9384889047,0.0275471378,sub-NDARAA947ZG5_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARAA947ZG5
NDARAA948VFH,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.818152,2.0,129.0,1135.49,15754.5,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.891262,0.0,129.0,2859.53,22925.8,0.3672109794,0.9331665003,0.0056590694,0.528998469,0.0035911477,0.6359933193,0.0317430239,sub-NDARAA948VFH_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARAA948VFH
NDARAB055BPR,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.524274,200.0,129.0,1754.9,25214.1,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.760139,0.0,129.0,2404.43,21702.0,1.6990141766,5.7990633858,0.0818953589,4.341031207,0.050173468,2.2819367571,0.0542311161,sub-NDARAB055BPR_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARAB055BPR
NDARAB348EWR,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.798847,46.0,129.0,662.885,10337.4,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.922182,0.0,129.0,2209.05,21131.1,0.3306388432,2.8731319096,0.0176348276,1.082612089,0.0232097907,0.7479652019,0.033291786,sub-NDARAB348EWR_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARAB348EWR
NDARAB458VK9,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.779797,0.0,129.0,760.298,11596.9,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.927839,0.0,129.0,2534.85,20165.3,0.1390132141,0.7010441084,0.0047784876,0.2630522036,0.007553698,0.1696691369,0.0339887797,sub-NDARAB458VK9_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARAB458VK9
NDARAB514MAJ,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.767209,28.0,129.0,1188.97,19366.1,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.890749,0.0,129.0,2862.23,26335.7,0.3718521548,4.1565485393,0.0395367481,0.3936596701,0.0419111715,0.4970815863,0.0262682235,sub-NDARAB514MAJ_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARAB514MAJ
NDARAB708LM5,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.753416,50.0,129.0,1087.51,15493.3,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.92382,0.0,129.0,2636.26,21954.7,0.7691982492,4.0683592496,0.0355495475,2.855818691,0.0298759295,2.1426830095,0.0266340597,sub-NDARAB708LM5_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARAB708LM5
NDARAB977GFB,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.748593,0.0,129.0,1091.93,16835.1,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.920862,1.0,129.0,1518.04,11784.7,0.273064884,5.3393116494,0.0504382253,2.249971422,0.0436171055,1.2594055055,0.0323723406,sub-NDARAB977GFB_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARAB977GFB
